;ug;loc;da;ti;tf;tm
143;Amazonas;Urbana;Total;4,5;4,6;5,3
144;Amazonas;Rural;Total;4,2;4,5;4,3
145;Amazonas;Total;Federal;;5,4;10,3
146;Amazonas;Urbana;Federal;;5,4;10,3
147;Amazonas;Rural;Federal;;;10,5
148;Amazonas;Total;Estadual;;4,8;4,9
149;Amazonas;Urbana;Estadual;;4,8;5,1
150;Amazonas;Rural;Estadual;;4,5;4,1
151;Amazonas;Total;Municipal;4,4;4,5;
152;Amazonas;Urbana;Municipal;4,4;4,5;
153;Amazonas;Rural;Municipal;4,2;4,5;
154;Amazonas;Total;Privada;4,9;4,6;5,7
155;Amazonas;Urbana;Privada;4,9;4,6;5,7
156;Amazonas;Rural;Privada;4,5;4,6;5,5
157;Amazonas;Total;Pública;4,4;4,6;5,1
158;Amazonas;Urbana;Pública;4,4;4,6;5,3
159;Amazonas;Rural;Pública;4,2;4,5;4,3
160;Roraima;Total;Total;4,9;4,5;5,5
161;Roraima;Urbana;Total;5,1;4,5;5,6
162;Roraima;Rural;Total;4,4;4,5;5,2
163;Roraima;Total;Federal;;4,7;8,6
164;Roraima;Urbana;Federal;;4,7;8,6
165;Roraima;Rural;Federal;;;8,7
166;Roraima;Total;Estadual;;4,4;5,3
167;Roraima;Urbana;Estadual;;4,4;5,4
168;Roraima;Rural;Estadual;;4,5;4,7
169;Roraima;Total;Municipal;4,9;4,5;
170;Roraima;Urbana;Municipal;5,1;4,5;
171;Roraima;Rural;Municipal;4,4;4,5;
172;Roraima;Total;Privada;5,0;4,9;5,6
173;Roraima;Urbana;Privada;5,0;4,9;5,6
174;Roraima;Rural;Privada;;;5,4
175;Roraima;Total;Pública;4,9;4,5;5,5
176;Roraima;Urbana;Pública;5,1;4,5;5,6
177;Roraima;Rural;Pública;4,4;4,5;5,2
178;Pará;Total;Total;4,8;4,9;5,3
179;Pará;Urbana;Total;4,9;5,0;5,4
180;Pará;Rural;Total;4,4;4,8;5,0
181;Pará;Total;Federal;4,2;4,9;6,3
182;Pará;Urbana;Federal;4,2;4,9;6,2
183;Pará;Rural;Federal;;;9,0
184;Pará;Total;Estadual;9,6;5,4;5,3
185;Pará;Urbana;Estadual;10,8;5,4;5,3
186;Pará;Rural;Estadual;4,5;5,3;4,8
187;Pará;Total;Municipal;4,8;4,9;9,1
188;Pará;Urbana;Municipal;5,0;5,0;10,0
189;Pará;Rural;Municipal;4,4;4,8;4,0
190;Pará;Total;Privada;4,5;4,7;5,8
191;Pará;Urbana;Privada;4,5;4,7;5,6
192;Pará;Rural;Privada;3,8;5,1;10,0
193;Pará;Total;Pública;4,8;5,0;5,3
194;Pará;Urbana;Pública;5,0;5,0;5,4
195;Pará;Rural;Pública;4,4;4,8;4,9
196;Amapá;Total;Total;5,0;5,4;6,6
197;Amapá;Urbana;Total;5,0;5,4;6,7
198;Amapá;Rural;Total;5,1;5,1;6,3
199;Amapá;Total;Federal;;;7,7
200;Amapá;Urbana;Federal;;;7,7
201;Amapá;Total;Estadual;4,5;5,5;6,6
202;Amapá;Urbana;Estadual;;5,6;6,7
203;Amapá;Rural;Estadual;4,5;5,1;6,1
204;Amapá;Total;Municipal;5,0;5,3;
205;Amapá;Urbana;Municipal;5,0;5,3;
206;Amapá;Rural;Municipal;5,1;5,2;
207;Amapá;Total;Privada;4,4;4,9;6,3
208;Amapá;Urbana;Privada;4,4;4,8;6,0
209;Amapá;Rural;Privada;;7,9;10,6
210;Amapá;Total;Pública;5,0;5,4;6,6
211;Amapá;Urbana;Pública;5,0;5,5;6,7
212;Amapá;Rural;Pública;5,1;5,1;6,1
213;Tocantins;Total;Total;5,4;5,9;5,9
214;Tocantins;Urbana;Total;5,4;5,9;5,8
215;Tocantins;Rural;Total;5,3;6,1;7,4
216;Tocantins;Total;Federal;;;10,0
217;Tocantins;Urbana;Federal;;;10,0
218;Tocantins;Rural;Federal;;;10,1
219;Tocantins;Total;Estadual;;5,9;5,7
220;Tocantins;Urbana;Estadual;;5,9;5,6
221;Tocantins;Rural;Estadual;;5,4;6,9
222;Tocantins;Total;Municipal;5,5;6,1;
223;Tocantins;Urbana;Municipal;5,5;6,1;
224;Tocantins;Rural;Municipal;5,3;6,3;
225;Tocantins;Total;Privada;4,8;4,7;5,7
226;Tocantins;Urbana;Privada;4,8;4,6;5,7
227;Tocantins;Rural;Privada;4,2;9,2;10,2
228;Tocantins;Total;Pública;5,5;6,0;5,9
229;Tocantins;Urbana;Pública;5,5;6,0;5,8
230;Tocantins;Rural;Pública;5,3;6,0;7,3
231;Maranhão;Total;Total;4,6;5,5;6,0
232;Maranhão;Urbana;Total;4,7;5,5;6,0
233;Maranhão;Rural;Total;4,4;5,5;5,7
234;Maranhão;Total;Federal;;5,2;6,0
235;Maranhão;Urbana;Federal;;5,2;5,7
236;Maranhão;Rural;Federal;;;6,8
237;Maranhão;Total;Estadual;8,6;4,5;6,0
238;Maranhão;Urbana;Estadual;8,6;4,8;6,1
239;Maranhão;Rural;Estadual;4,3;4,1;5,4
240;Maranhão;Total;Municipal;4,6;5,6;3,8
241;Maranhão;Urbana;Municipal;4,7;5,7;3,8
242;Maranhão;Rural;Municipal;4,3;5,5;3,9
243;Maranhão;Total;Privada;4,7;4,6;6,5
244;Maranhão;Urbana;Privada;4,6;4,6;5,8
245;Maranhão;Rural;Privada;5,0;4,8;11,5
246;Maranhão;Total;Pública;4,6;5,6;6,0
247;Maranhão;Urbana;Pública;4,7;5,6;6,1
248;Maranhão;Rural;Pública;4,3;5,5;5,5
249;Piauí;Total;Total;5,3;5,9;7,9
250;Piauí;Urbana;Total;5,3;5,9;8,0
251;Piauí;Rural;Total;5,5;6,0;6,5
252;Piauí;Total;Federal;;;5,9
253;Piauí;Urbana;Federal;;;6,0
254;Piauí;Rural;Federal;;;5,2
255;Piauí;Total;Estadual;;6,1;8,2
256;Piauí;Urbana;Estadual;;6,1;8,3
257;Piauí;Rural;Estadual;;7,8;6,6
258;Piauí;Total;Municipal;5,5;6,1;
259;Piauí;Urbana;Municipal;5,5;6,1;
260;Piauí;Rural;Municipal;5,5;6,0;
261;Piauí;Total;Privada;4,2;4,9;6,7
262;Piauí;Urbana;Privada;4,2;4,9;6,7
263;Piauí;Rural;Privada;;8,7;8,7
264;Piauí;Total;Pública;5,5;6,1;8,1
265;Piauí;Urbana;Pública;5,5;6,1;8,2
266;Piauí;Rural;Pública;5,5;6,0;6,5
267;Ceará;Total;Total;5,2;6,0;7,4
268;Ceará;Urbana;Total;5,3;6,0;7,4
269;Ceará;Rural;Total;4,8;6,2;8,0
270;Ceará;Total;Federal;4,0;5,0;9,7
271;Ceará;Urbana;Federal;4,0;5,0;9,7
272;Ceará;Rural;Federal;;;10,0
273;Ceará;Total;Estadual;4,3;4,4;7,6
274;Ceará;Urbana;Estadual;4,9;4,6;7,5
275;Ceará;Rural;Estadual;4,0;4,0;7,9
276;Ceará;Total;Municipal;5,2;6,4;
277;Ceará;Urbana;Municipal;5,4;6,5;
278;Ceará;Rural;Municipal;4,8;6,3;
279;Ceará;Total;Privada;4,9;4,4;5,5
280;Ceará;Urbana;Privada;4,9;4,4;5,5
281;Ceará;Rural;Privada;5,0;4,5;20,3
282;Ceará;Total;Pública;5,2;6,4;7,6
283;Ceará;Urbana;Pública;5,4;6,5;7,6
284;Ceará;Rural;Pública;4,8;6,2;8,0
285;Rio Grande do Norte;Total;Total;4,5;4,9;5,5
286;Rio Grande do Norte;Urbana;Total;4,5;4,9;5,5
287;Rio Grande do Norte;Rural;Total;4,5;5,0;5,7
288;Rio Grande do Norte;Total;Federal;3,8;4,3;5,2
289;Rio Grande do Norte;Urbana;Federal;3,8;4,3;5,0
290;Rio Grande do Norte;Rural;Federal;;;6,6
291;Rio Grande do Norte;Total;Estadual;;5,0;5,5
292;Rio Grande do Norte;Urbana;Estadual;;5,0;5,6
293;Rio Grande do Norte;Rural;Estadual;;4,9;5,4
294;Rio Grande do Norte;Total;Municipal;4,6;5,0;
295;Rio Grande do Norte;Urbana;Municipal;4,6;5,0;
296;Rio Grande do Norte;Rural;Municipal;4,5;5,0;
297;Rio Grande do Norte;Total;Privada;4,4;4,6;5,5
298;Rio Grande do Norte;Urbana;Privada;4,4;4,6;5,5
299;Rio Grande do Norte;Rural;Privada;4,2;4,3;4,5
300;Rio Grande do Norte;Total;Pública;4,6;5,0;5,5
301;Rio Grande do Norte;Urbana;Pública;4,6;5,0;5,5
302;Rio Grande do Norte;Rural;Pública;4,5;5,0;5,7
